date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210224,FL,1851151,344284.0,9080964.0,8322.0,totalTestEncountersViral,21369597,4077.0,79675.0,,,,,,2/23/2021 23:59,2021-02-23T23:59:00Z,02/23 18:59,30878,79675.0,,2021-02-23T23:59:00Z,18763395.0,2423735.0,16250525.0,1506867.0,,,21369597.0,10932115.0,997190.0,165482.0,831212.0,946648.0,155757.0,790547.0,,,,,12,6923,29359,10940437,105398,10932115,,129,265,13ea477b59bb0e9baeed55982594212e8a2da4e8,0,0,0,0,0,
20210224,GA,994061,183588.0,,,totalTestsViral,7096779,2615.0,55394.0,,8999.0,,,,2/24/2021 14:54,2021-02-24T14:54:00Z,02/24 09:54,17064,55394.0,,2021-02-24T14:54:00Z,7096779.0,787153.0,,810473.0,14882.0,2182.0,,,471938.0,73122.0,,,,,,,,,13,3240,0,994061,20380,994061,,137,227,c1902d10ec71376a246f098fc133481b7235de08,0,0,0,0,0,
20210224,GU,7729,209.0,109164.0,,posNeg,116893,6.0,,2.0,,2.0,,7555.0,2/24/2021 04:00,2021-02-24T04:00:00Z,02/23 23:00,130,,,2021-02-24T04:00:00Z,116684.0,,,7520.0,,,,,352.0,23.0,,,,,,,9047.0,248.0,66,2,431,116893,433,116893,,0,0,fd68d3f2f928e5e716b5671052a99c95e41c8ba5,0,0,0,0,0,
20210224,HI,28050,730.0,,,totalTestEncountersViral,1075225,37.0,2204.0,6.0,,6.0,,,2/22/2021 14:30,2021-02-22T14:30:00Z,02/22 09:30,435,2204.0,,2021-02-22T14:30:00Z,,26853.0,,27320.0,435.0,,1075225.0,,,,,,,,,,,,15,50,0,28050,5055,28050,,4,8,f468650628d43ebedaabe7052bf8f64a8ec80591,0,0,0,0,0,
20210224,IA,278410,,1027492.0,,posNeg,1305902,233.0,,57.0,,23.0,,311666.0,2/24/2021 00:00,2021-02-24T00:00:00Z,02/23 19:00,5415,,,2021-02-24T00:00:00Z,2677457.0,301944.0,2361198.0,278410.0,,,,1308273.0,,,,110812.0,17836.0,92925.0,238935.0,55836.0,1320798.0,59265.0,19,589,2101,1305902,2690,1305902,,15,0,a254fb7351a480404922d9d50b42c15236937a13,0,0,0,0,0,
20210224,ID,169866,31859.0,495851.0,,totalTestsPeopleViral,633858,110.0,7033.0,25.0,1227.0,,,92859.0,2/23/2021 19:00,2021-02-23T19:00:00Z,02/23 14:00,1840,7033.0,,2021-02-23T19:00:00Z,1066095.0,,,138007.0,1620.0,220.0,,633858.0,,,,,,,,,123809.0,,16,282,1078,665717,1297,665717,,14,26,250773c2c22ee225c9d5bc25bb7cd7c27a43fa29,0,0,0,0,0,
20210224,IL,1179342,,16625195.0,,posNeg,17804537,1511.0,,338.0,,172.0,,,2/24/2021 00:00,2021-02-24T00:00:00Z,02/23 19:00,22575,,,2021-02-24T00:00:00Z,17804537.0,,,,20374.0,2201.0,,,,,,,,,,,,,17,2022,80954,17804537,82976,17804537,,47,0,ddfdb867472cddf03b9e59caebabefc8babaa3d8,0,0,0,0,0,
20210224,IN,658043,,2435646.0,,totalTestsViral,7856992,886.0,42635.0,158.0,7445.0,79.0,,,2/23/2021 23:59,2021-02-23T23:59:00Z,02/23 18:59,12467,42635.0,430062.0,2021-02-23T23:59:00Z,7856992.0,749447.0,,,12039.0,428.0,,3093689.0,,,,,,,,,,,18,1006,3954,3093689,41241,3093689,,17,78,326ac79609db9f344bf84e42b00b589bfc685b5f,0,0,0,0,0,
20210224,KS,292837,,955931.0,,posNeg,1248768,214.0,9189.0,52.0,2482.0,22.0,411.0,,2/24/2021 10:00,2021-02-24T10:00:00Z,02/24 05:00,4724,9189.0,6297.0,2021-02-24T10:00:00Z,2438740.0,,,,,,,1248768.0,,,,,,,,,573408.0,,20,1122,4147,1248768,5269,1248768,,81,86,1749c2c3dfcdfd2b807da558e2835e8e078e804a,0,0,0,0,0,
20210224,KY,400307,92766.0,,,totalTestsViral,3862877,883.0,18859.0,228.0,3930.0,112.0,,47225.0,2/24/2021 00:00,2021-02-24T00:00:00Z,02/23 19:00,4527,18859.0,,2021-02-24T00:00:00Z,3862877.0,247781.0,,307541.0,4107.0,420.0,,,110788.0,9471.0,,,,,,,465656.0,36262.0,21,1294,0,400307,5572,400307,,51,91,40e1faed12aa32e5bb5e935fff620190602dc086,0,0,0,0,0,
20210224,LA,426925,59343.0,5040972.0,,posNeg,5467897,687.0,,,,102.0,,408463.0,2/24/2021 13:00,2021-02-24T13:00:00Z,02/24 08:00,9528,,,2021-02-24T13:00:00Z,5408554.0,,,367582.0,8860.0,668.0,,,,,,,,,,,440757.0,,22,877,20853,5467897,21730,5467897,,25,0,44c031bbb9597881b3cb509d1a41ff8a0530a99b,0,0,0,0,0,
20210224,MA,573885,30189.0,4311159.0,,totalTestsViral,15776531,875.0,19444.0,219.0,,151.0,,477796.0,2/23/2021 23:59,2021-02-23T23:59:00Z,02/23 18:59,15945,19444.0,,2021-02-23T23:59:00Z,15776531.0,650220.0,,543696.0,15624.0,321.0,,4854855.0,,,,153152.0,14895.0,,548242.0,,,,25,2102,11201,4885044,114127,4885044,,62,268,5433e7d79d6df2b14e81df6065cd552e14b2f1cf,0,0,0,0,0,
20210224,MD,378490,,2972600.0,,totalTestsViral,7718790,960.0,34672.0,249.0,,,,9626.0,2/24/2021 10:00,2021-02-24T10:00:00Z,02/24 05:00,7789,34672.0,,2021-02-24T10:00:00Z,7718790.0,461976.0,,378490.0,7607.0,182.0,,3351090.0,,,,195908.0,27357.0,168551.0,,,,,24,862,4940,3351090,29249,3351090,,27,95,8afa92b3dbfa48b52dd9c4e402f19912b41811e7,0,0,0,0,0,
20210224,ME,43900,9177.0,1551507.0,,posNeg,1595407,74.0,1515.0,25.0,,7.0,,12779.0,2/23/2021 23:59,2021-02-23T23:59:00Z,02/23 18:59,677,1515.0,,2021-02-23T23:59:00Z,1586230.0,41094.0,1542669.0,34723.0,658.0,19.0,,,14905.0,805.0,14088.0,,,,,,200818.0,10203.0,23,164,12684,1595407,12848,1595407,,17,4,b4fa03861525a2c5f995b9dd236e6151edd91e4c,0,0,0,0,0,
20210224,MI,641270,57306.0,9519738.0,,posNeg,10161008,855.0,,200.0,,86.0,,529080.0,2/24/2021 00:00,2021-02-24T00:00:00Z,02/23 19:00,16389,,,2021-02-24T00:00:00Z,10258784.0,739046.0,9519738.0,583964.0,15405.0,984.0,,,522406.0,,,,,,,,,,26,1558,40482,10161008,42040,10161008,,9,0,5f166995f67842a5e404eb15dcf02589f5b0e717,0,0,0,0,0,
20210224,MN,480845,22975.0,2972750.0,,totalTestEncountersViral,6785781,292.0,25579.0,59.0,5284.0,,,467969.0,2/23/2021 17:00,2021-02-23T17:00:00Z,02/23 12:00,6443,25579.0,,2021-02-23T17:00:00Z,,,,457870.0,6173.0,270.0,6785781.0,3430620.0,,,,,,,,,411600.0,,27,754,4753,3453595,6168,3453595,,9,51,7d2d5efa5f7466b90eb7234ba36dc4f88c380172,0,0,0,0,0,
20210224,MO,476351,,1843214.0,,totalTestsViral,4422930,1182.0,,244.0,,161.0,,,2/24/2021 00:59,2021-02-24T00:59:00Z,02/23 19:59,7894,,,2021-02-24T00:59:00Z,4422930.0,525813.0,3887769.0,476351.0,,,,2319565.0,147964.0,23441.0,124325.0,132696.0,,,340085.0,,820678.0,80711.0,29,560,2857,2319565,11920,2319565,,9,0,840406ec7b2d8c01c7f2dde6a7a8efc56e7692e0,0,0,0,0,0,
20210224,MP,143,,17429.0,,posNeg,17572,,4.0,,,,,29.0,2/20/2021 00:00,2021-02-20T00:00:00Z,02/19 19:00,2,4.0,,2021-02-20T00:00:00Z,26131.0,,,143.0,2.0,,,17542.0,,,,,,,,,,,69,0,0,17572,0,17572,,0,0,bdb0e6e48bcfa36faac569a4c80fd92ace3b2365,0,0,0,0,0,
20210224,MS,291891,110342.0,1436186.0,,posNeg,1728077,554.0,9012.0,141.0,,90.0,,273437.0,2/23/2021 00:00,2021-02-23T00:00:00Z,02/22 19:00,6605,9012.0,,2021-02-23T00:00:00Z,1617180.0,,,181549.0,4633.0,1972.0,,,80525.0,,,,,,,,728148.0,,28,669,0,1728077,669,1728077,,28,0,1fc4ea61ecf98b4efb9a3d6d16b8d758ddf43ead,0,0,0,0,0,
20210224,MT,99242,3803.0,960731.0,,posNeg,1059973,97.0,4559.0,18.0,,12.0,,96040.0,2/24/2021 01:59,2021-02-24T01:59:00Z,02/23 20:59,1348,4559.0,,2021-02-24T01:59:00Z,1056170.0,,,95439.0,,,,,,,,,,,,,,,30,202,3554,1059973,3756,1059973,,2,5,a8eb9722b737692469061d899d1d18b5c9ddcadb,0,0,0,0,0,
20210224,NC,849630,106864.0,9287411.0,,posNeg,10137041,1530.0,,380.0,,,,,2/24/2021 11:45,2021-02-24T11:45:00Z,02/24 06:45,11074,,795521.0,2021-02-24T11:45:00Z,10030177.0,,,742766.0,9804.0,1270.0,,,,,,,,,,,729784.0,,37,3346,38264,10137041,41610,10137041,,109,0,f7463102dcf3f1c49d100fe96ff6c3ecea11e4af,0,0,0,0,0,
20210224,ND,99531,5137.0,303582.0,,totalTestEncountersViral,1399342,28.0,3860.0,5.0,563.0,,,97389.0,2/24/2021 01:59,2021-02-24T01:59:00Z,02/23 20:59,1470,3860.0,,2021-02-24T01:59:00Z,1500838.0,,,94394.0,,,1399342.0,403113.0,13395.0,1442.0,11953.0,,,,,,136833.0,,38,115,315,403113,3513,403113,,2,1,43f9c36e9fc204e8a352c11b1786bdea5e99d3e0,0,0,0,0,0,
20210224,NE,199782,,759715.0,,totalTestsViral,2335453,178.0,6059.0,,,,,153585.0,2/24/2021 12:15,2021-02-24T12:15:00Z,02/24 07:15,2054,6059.0,,2021-02-24T12:15:00Z,2335453.0,231778.0,2101080.0,,,,,960014.0,,,,,,,,,,,31,380,1448,959497,12443,959497,,4,11,51004b5df8a777594ec10dcc6b8c46077714d6ee,0,0,0,0,0,
20210224,NH,74258,22003.0,573210.0,,totalTestsViral,1419496,103.0,1101.0,,342.0,,,70318.0,2/24/2021 09:00,2021-02-24T09:00:00Z,02/24 04:00,1157,1101.0,,2021-02-24T09:00:00Z,1419496.0,,,52255.0,,,,625465.0,39056.0,,,37511.0,,,,,185376.0,,33,335,1309,647468,5611,647468,,2,6,3d54a4cc8b1279611a49ab28bff461e5315fc421,0,0,0,0,0,
20210224,NJ,775386,85442.0,9712105.0,,posNeg,10487491,2070.0,63252.0,435.0,,273.0,,,2/24/2021 00:00,2021-02-24T00:00:00Z,02/23 19:00,23077,63252.0,74524.0,2021-02-24T00:00:00Z,10402049.0,,,689944.0,20746.0,2331.0,,,,,,,,,,,,,34,3119,37620,10487491,40739,10487491,,99,62,3a32a00582c1974f4748284329fc93e1e0721f88,0,0,0,0,0,
20210224,NM,183781,,2458641.0,,posNeg,2642422,251.0,13024.0,,,,,137250.0,2/24/2021 18:08,2021-02-24T18:08:00Z,02/24 13:08,3658,13024.0,,2021-02-24T18:08:00Z,2642422.0,,,,,,,,,,,,,,,,,,35,446,14159,2642422,14605,2642422,,14,35,2e03c2f9b2ce103e0de8f9eae8f9b670bdd4ade7,0,0,0,0,0,
20210224,NV,292059,,1108772.0,,totalTestEncountersViral,2686592,534.0,,120.0,,78.0,,,2/23/2021 00:00,2021-02-23T00:00:00Z,02/22 19:00,4919,,,2021-02-23T00:00:00Z,,,,292059.0,,,2686592.0,1400831.0,,,,,,,,,,,32,516,2124,1400831,8343,1400831,,16,0,e5b8c5bbd570e4c3a0a4a96307a3539367507416,0,0,0,0,0,
20210224,NY,1597774,,,,totalTestEncountersViral,36977757,5876.0,89995.0,1154.0,,800.0,,,2/23/2021 14:00,2021-02-23T14:00:00Z,02/23 09:00,38135,89995.0,143659.0,2021-02-23T14:00:00Z,,,,,,,36977757.0,,,,,,,,,,,,36,6189,0,1597774,216813,1597774,,104,0,d2411759c2fc861fb1e5023e3b274f0f75cfaa93,0,0,0,0,0,
20210224,OH,959995,135594.0,,,totalTestsViral,9849578,1338.0,49788.0,356.0,7083.0,236.0,,897425.0,2/24/2021 14:00,2021-02-24T14:00:00Z,02/24 09:00,17045,49788.0,,2021-02-24T14:00:00Z,9849578.0,852166.0,,824401.0,14500.0,2545.0,,,,,,,,,,,1629432.0,82707.0,39,1842,0,959995,18715,959995,,77,137,75cdfd38912f190b0ce1a89a0a2b3c46328f62a7,0,0,0,0,0,
20210224,OK,421010,,3024431.0,3773.0,posNeg,3445441,591.0,23768.0,161.0,,,,403159.0,,,,4264,23768.0,,,3418737.0,382869.0,3024431.0,,,,,,145659.0,20802.0,,,,,,,,,40,798,14553,3449214,15351,3445441,,37,68,80a2f81b2feb0e50406d9179e076bad3f68ba8ce,0,0,0,0,0,
20210224,OR,153645,,,,totalTestsViral,3510691,191.0,8496.0,49.0,,24.0,,,2/23/2021 03:01,2021-02-23T03:01:00Z,02/22 22:01,2162,8496.0,,2021-02-23T03:01:00Z,3510691.0,200915.0,3309776.0,,,,,,,,,,,,,,,,41,511,0,153645,12526,153645,,7,39,3d9b49935c058d71b63f7807bc03e313c1a95003,0,0,0,0,0,
20210224,PA,920634,127932.0,3843793.0,,totalTestEncountersViral,10190768,1972.0,,433.0,,239.0,,828570.0,2/24/2021 12:00,2021-02-24T12:00:00Z,02/24 07:00,23787,,,2021-02-24T12:00:00Z,,,,792702.0,,,10190768.0,4636495.0,,,,,,,,,,,42,2786,9323,4764427,39966,4764427,,76,0,7b232e5649ee322b9c98a556b5662bfc6da86384,0,0,0,0,0,
20210224,PR,99519,7685.0,305972.0,,posNeg,405491,242.0,,46.0,,38.0,,90027.0,2/24/2021 00:00,2021-02-24T00:00:00Z,02/23 19:00,2007,,,2021-02-24T00:00:00Z,415664.0,20103.0,395291.0,91834.0,1706.0,301.0,,,,78747.0,,,,,,,,,72,43,0,405491,43,405491,,21,0,f3ef9c30016951db53036c8d6c7d31f16bdfff03,0,0,0,0,0,
20210224,RI,124718,,662136.0,,totalTestEncountersViral,2922011,168.0,8850.0,32.0,,16.0,,,2/24/2021 13:00,2021-02-24T13:00:00Z,02/24 08:00,2487,8850.0,7685.0,2021-02-24T13:00:00Z,,148754.0,2773257.0,,,,2922011.0,786854.0,,,,,,,,,,,44,456,1600,786854,19189,786854,,11,15,94c6c803fb3f3a8f93d8778c4cce07643d7b3d3d,0,0,0,0,0,
20210224,SC,509044,70183.0,4396259.0,,posNeg,4905303,968.0,20117.0,231.0,,129.0,,230793.0,2/22/2021 23:59,2021-02-22T23:59:00Z,02/22 18:59,8398,20117.0,,2021-02-22T23:59:00Z,4835120.0,565314.0,4269806.0,438861.0,7460.0,938.0,,,130819.0,26483.0,104336.0,,,,,,827985.0,105305.0,45,2132,53546,4905303,55678,4905303,,41,93,67b5fbbd4fbb681bf80ab9d141e63d9c2f5ea8b2,0,0,0,0,0,
20210224,SD,111808,12450.0,308019.0,,totalTestsPeopleViral,419827,102.0,6570.0,17.0,,9.0,,108053.0,2/23/2021 14:00,2021-02-23T14:00:00Z,02/23 09:00,1864,6570.0,,2021-02-23T14:00:00Z,959404.0,,,99358.0,,,,419827.0,,,,,,,,,,,46,262,778,419827,1040,419827,,1,22,f6c00986938b422a80014b6e8e7f072d6d4db99e,0,0,0,0,0,
20210224,TN,768946,123944.0,6064398.0,,posNeg,6833344,1142.0,18430.0,280.0,,148.0,,743254.0,2/24/2021 15:00,2021-02-24T15:00:00Z,02/24 10:00,11266,18430.0,,2021-02-24T15:00:00Z,6709400.0,744017.0,5965383.0,645002.0,9060.0,2206.0,,,,,,,,,,,1329787.0,135530.0,47,1631,14681,6833344,16312,6833344,,68,67,516f9d2d2a619a16cd03bf407076f8c0fffbc478,0,0,0,0,0,
20210224,TX,2613792,349029.0,,,totalTestsViral,19303921,6738.0,,2063.0,,,,2368008.0,2/24/2021 16:55,2021-02-24T16:55:00Z,02/24 11:55,41980,,,2021-02-24T16:55:00Z,19303921.0,2576255.0,,2264763.0,,,,,1000019.0,144994.0,,,,,,,2358865.0,195226.0,48,7517,0,2613792,61640,2613792,,339,0,55af43d546ab5c75ad5026295f83b4ebc672388b,0,0,0,0,0,
20210224,UT,368601,,1521375.0,,totalTestsViral,2819300,252.0,14554.0,91.0,2288.0,,807.0,347721.0,2/24/2021 09:34,2021-02-24T09:34:00Z,02/24 04:34,1879,14554.0,,2021-02-24T09:34:00Z,2819300.0,341007.0,2478293.0,,,,,1833776.0,,,,,,,346818.0,55574.0,925044.0,57982.0,49,812,4362,1889976,9940,1889976,,14,34,74fd79922a1bc3639cc973ee08018751aafb9803,0,0,0,0,0,
20210224,VA,568946,119946.0,,291.0,totalTestEncountersViral,5799799,1564.0,23798.0,318.0,,185.0,,,2/23/2021 17:00,2021-02-23T17:00:00Z,02/23 12:00,7807,23798.0,46208.0,2021-02-23T17:00:00Z,,548449.0,,449000.0,6712.0,1095.0,5799799.0,,219361.0,27100.0,,,,,,,1333909.0,119584.0,51,1907,0,569237,20805,568946,,149,100,9ac072e4579372f23d431770119af4b674bf443e,0,0,0,0,0,
20210224,VI,2613,,44366.0,117.0,posNeg,46979,,,,,,,2487.0,2/24/2021 06:11,2021-02-24T06:11:00Z,02/24 01:11,25,,,2021-02-24T06:11:00Z,,,,,25.0,,,47096.0,,,,,,,,,,,78,24,469,47096,493,46979,,0,0,6399ed337530de8514dc9ade5bf8ab02f8d46a3b,0,0,0,0,0,
20210224,VT,14768,423.0,312998.0,,totalTestsViral,1031951,32.0,,10.0,,,,11998.0,2/23/2021 23:59,2021-02-23T23:59:00Z,02/23 18:59,201,,,2021-02-23T23:59:00Z,1031951.0,,,14345.0,,,,327343.0,,,,,,,,,,,50,77,426,327766,2902,327766,,2,0,aed9835d410157a2b1feb2cb5d30e8406a9cff69,0,0,0,0,0,
20210224,WA,335693,17888.0,,,totalTestEncountersViral,5145517,544.0,19160.0,98.0,,58.0,,,2/23/2021 02:59,2021-02-23T02:59:00Z,02/22 21:59,4881,19160.0,,2021-02-23T02:59:00Z,,317740.0,4827423.0,317805.0,,,5145517.0,,,,,,,,,,,,53,731,0,335693,25291,335693,,24,50,631a12d71948112877c86fa72ac3e3d7c2e6270f,0,0,0,0,0,
20210224,WI,614260,52949.0,2603118.0,45.0,totalTestEncountersViral,6737019,347.0,25893.0,92.0,2250.0,,,546408.0,2/24/2021 00:00,2021-02-24T00:00:00Z,02/23 19:00,6936,25893.0,,2021-02-24T00:00:00Z,,,,561311.0,6342.0,594.0,6737019.0,3164429.0,,,,,,,,,,,55,841,4517,3217423,27260,3217378,,26,55,2abe83f3c24f7d99e1aa82590530f7c0044108df,0,0,0,0,0,
20210224,WV,130382,26106.0,2031638.0,,posNeg,2162020,292.0,,74.0,,40.0,,120030.0,2/23/2021 23:59,2021-02-23T23:59:00Z,02/23 18:59,2285,,,2021-02-23T23:59:00Z,2135914.0,,,104276.0,1941.0,344.0,,,31752.0,,,,,,,,,,54,243,8156,2162020,8399,2162020,,11,0,f226e0bfcadb350235762d21ee382c0535077fbd,0,0,0,0,0,
20210224,WY,53988,8187.0,180228.0,,totalTestsViral,629838,25.0,1374.0,,,,,52679.0,2/24/2021 00:00,2021-02-24T00:00:00Z,02/23 19:00,671,1374.0,,2021-02-24T00:00:00Z,629838.0,38597.0,583283.0,45801.0,,,,226029.0,,,,,,,,,,,56,44,797,234216,4802,234216,,0,1,76ad8e4233c919a03e85ddd982edac30140b8910,0,0,0,0,0,
